
 Lista de Imóveis da Caixa;;Data de geração:;21/07/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444411875761 ;SP ;AMERICANA ;JARDIM DA BALSA II ;RUA RIO PIQUIRI, N. 194, LT 42-A, QD 17 ;137.483,13;246.000,00;44.12;Não;Casa, 77.84 de área total, 77.84 de área privativa, 107.93 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411875761
 8787707101496 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 107, TÉRREO, BL 22, GLEBA A3B, VAGA 373 ;82.550,28;141.000,00;41.46;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707101496
 8555536142974 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 540, Apto 111, BL 02, VG 119 ;152.253,27;260.000,00;41.45;Não;Apartamento, 0.00 de área total, 51.76 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536142974
 8787707633943 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 208, BL 14 ;104.296,65;176.000,00;40.75;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707633943
 8787702986902 ;SP ;AMERICANA ;JARDIM DOS LIRIOS ;RUA UIRAPURU, N. 445, Apto 31, 3º PAV, BL E, VAGA 104 ;101.274,42;170.900,00;40.75;Não;Apartamento, 67.27 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702986902
 8787714750437 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES - ZÉ PULGA, N. 420, Apto 14, 1º PAV, BL B ;137.201,86;227.000,00;39.56;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714750437
 8787715554828 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES - ZÉ PULGA, N. 420, Apto 05, BL B ;139.015,11;230.000,00;39.56;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715554828
 8787714119583 ;SP ;AMERICANA ;BAIRRO PACAEMBU ;RUA MARIA AMELIA SANTOS STEFANI, N. 350, CS 04 ;168.383,74;275.000,00;38.77;Não;Casa, 113.91 de área total, 69.37 de área privativa, 36.96 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714119583
 8787714426800 ;SP ;AMERICANA ;BAIRRO PACAEMBU ;RUA MARIA AMELIA SANTOS STEFANI, N. 350, CS 208 ;159.199,17;260.000,00;38.77;Não;Casa, 127.36 de área total, 71.12 de área privativa, 38.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714426800
 8787718417376 ;SP ;AMERICANA ;BAIRRO PACAEMBU ;RUA MARIA AMELIA SANTOS STEFANI, N. 350, CASA 142 ;156.749,95;256.000,00;38.77;Não;Casa, 112.50 de área total, 55.97 de área privativa, 37.49 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718417376
 8787717266056 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES - ZE PULGA, N. 420, Apto 21, 2º PAV BL E ;146.953,08;240.000,00;38.77;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717266056
 1444413103369 ;SP ;AMERICANA ;LOTEAMENTO INDUSTRIAL MACHADINHO ;RUA ANGELO ORTOLAN, N. 150, Apto 401, PV 03 BL 29 VG 341 ;133.437,74;212.000,00;37.06;Não;Apartamento, 77.74 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413103369
 8555534120086 ;SP ;AMERICANA ;CENTRO ;RUA DOM PEDRO II, N. 255, Apto 53A, BL A BOX 33 ;290.000,00;290.000,00;0.00;Não;Apartamento, 77.09 de área total, 52.50 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534120086
 8787707125174 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 103, BL 25 ;189.000,00;189.000,00;0.00;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707125174
 8444433330440 ;SP ;AMERICANA ;JARDIM BELA VISTA ;RUA DO FLAMENGO, N. 311, Apto 121, BL E BOX 191 ;248.688,93;248.688,93;0.00;Não;Apartamento, 86.84 de área total, 58.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433330440
 1444407992556 ;SP ;AMERICANA ;PARQUE GRAMADO ;RUA JOÃO MARTINS MILENA, N. 221, LOTE 2-B DA QUADRA 31 ;265.000,00;265.000,00;0.00;Não;Casa, 143.80 de área total, 143.80 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407992556
 8444404396330 ;SP ;AMERICANA ;PARQUE DOM PEDRO II ;RUA BENEDITO TOLEDO FERRAZ, N. 34, LOTE 01A  QUADRA 23/24 ;250.800,00;250.800,00;0.00;Não;Casa, 102.60 de área total, 102.60 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404396330
 10300074 ;SP ;AMERICANA ;JARDIM IMPERADOR ;RUA IMPERADOR NERVA, N. 00, QD 13, LT 08 ;634.000,00;634.000,00;0.00;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10300074
 8555536446728 ;SP ;AMERICANA ;JARDIM TERRAMERICA III ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 202, BL 28, LOT VILA AMORIM ;218.000,00;218.000,00;0.00;Não;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536446728
 8444425074740 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 403, BL 19 ;179.118,19;170.000,00;0.00;Não;Apartamento, 79.08 de área total, 38.92 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425074740
 8787716019110 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES ANTIGA RUA FUTURA, N. 420, Apto 18, BL D ;227.879,00;215.320,76;0.00;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716019110
 8555540147896 ;SP ;AMERICANA ;CARIOBA ;RUA SAO SIMAO, N. 265, Apto 07A, PAV TERREO  BL A ;213.734,42;200.000,00;0.00;Não;Apartamento, 65.87 de área total, 45.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555540147896
 8787705746422 ;SP ;AMERICANA ;FAZENDA SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 105, PV TERREO  BL 28  GLEBA A3B  VG 482 ;188.658,57;173.000,00;0.00;Não;Apartamento, 99.17 de área total, 46.73 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705746422
 8444433131242 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 403, BL 20 PAV 03 GAR 657 GL  A3B ;211.486,89;193.000,00;0.00;Não;Apartamento, 79.08 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433131242
 8787716988449 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES, N. 420, Apto 42, PV 04 BL E ;247.850,80;210.000,00;0.00;Não;Apartamento, 82.55 de área total, 47.63 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716988449
 1444418303374 ;SP ;AMERICANA ;JARDIM RECANTO ;VIA FRANCISCO BOLDRINI, N. 100, Apto 104, TERREO BL 42 VG 361 ;235.644,56;190.000,00;0.00;Não;Apartamento, 84.19 de área total, 54.52 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418303374
 8787712612720 ;SP ;ANDRADINA ;JARDIM SAO LOURENCO ; RUA 09, N. 20, R FINLANDIA ;142.000,00;142.000,00;0.00;Não;Casa, 50.82 de área total, 50.82 de área privativa, 160.35 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712612720
 8444421906252 ;SP ;ARACATUBA ;AVIACAO ;RUA AVIACAO, N. 1196, Apto 42, BL 4B ;32.840,94;81.000,00;59.46;Não;Apartamento, 0.00 de área total, 42.72 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421906252
 8787717704789 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;RUA ERNESTO NAZARET, N. 140, Apto 103, BL. 09 ;99.426,02;188.000,00;47.12;Não;Apartamento, 39.30 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717704789
 8787720873464 ;SP ;ARACATUBA ;PARQUE INDUSTRIAL ;RUA NOEL ROSA, N. 719, Apto 701, BL 08, VAGA 164 ;108.794,43;200.000,00;45.61;Sim;Apartamento, 109.72 de área total, 61.70 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720873464
 8555536534112 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL DOUTOR ANTONIO VIL ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 405, BL 03 ;86.209,43;155.000,00;44.39;Sim;Apartamento, 97.91 de área total, 47.76 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536534112
 8787714243799 ;SP ;ARACATUBA ;ROSELE ;RUA NOEL ROSA, N. 719, Apto 401, BL03 - 4º PAV - VG18 ;76.246,82;135.000,00;43.53;Não;Apartamento, 84.65 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714243799
 8787720137245 ;SP ;ARACATUBA ;RES SYLVIO JOSE VENT ;RUA PASTOR JOSE FERREIRA DE FREITAS, N. 1302, LT 02 QD 34 ;75.305,50;130.000,00;42.08;Não;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720137245
 8787709268746 ;SP ;ARACATUBA ;JARDIM PAULISTA ;RUA GOULART, N. 399, Apto 403, BL 16 4 PAVIMENTO ;77.043,32;133.000,00;42.08;Não;Apartamento, 83.41 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709268746
 8787715886014 ;SP ;ARACATUBA ;PARQUE INDUSTRIAL ANTONIO XAVIER COUTO ;RUA TEREZA DE JESUS PUGINA SILVA, N. 439, QD19, LT 30 ;74.146,96;128.000,00;42.08;Não;Casa, 0.00 de área total, 44.82 de área privativa, 152.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715886014
